keluhan,kategori,prioritas
Koneksi internet sering timeout saat ujian online,Jaringan,Tinggi
Internet di gedung B sangat lambat,Jaringan,Sedang
Status pengajuan surat saya belum berubah dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Mahasiswa butuh surat aktif kuliah untuk beasiswa,Administrasi,Rendah
Parkiran motor kurang diawasi dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Saya tidak tahu alur pengajuan surat izin penelitian,Administrasi,Rendah
"Mohon bantuan, kantin kampus terlihat kurang bersih",Kebersihan,Sedang
Tolong dicek karena saya bingung jadwal pengisian krs semester ini,Akademik,Tinggi
"Mohon bantuan, papan tulis sulit digunakan karena spidol habis",Fasilitas,Sedang
Ruang praktikum berbau tidak sedap,Kebersihan,Rendah
"Mohon bantuan, saya bingung jadwal pengisian krs semester ini",Akademik,Rendah
Ruang kelas berdebu saat pagi,Kebersihan,Rendah
"Mohon bantuan, wifi kampus sering mati saat jam kuliah",Jaringan,Tinggi
WiFi kampus sering mati saat jam kuliah,Jaringan,Tinggi
Sistem pembayaran kampus sering gagal dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Proyektor kelas tidak bisa menyala,Fasilitas,Tinggi
Speaker ruang seminar rusak,Fasilitas,Sedang
Area belakang gedung terlalu gelap,Keamanan,Rendah
Mahasiswa bingung jadwal pengisian KRS semester ini,Akademik,Rendah
"Mohon bantuan, cctv di lorong tidak menyala",Keamanan,Tinggi
Tolong dicek karena kelas pengganti belum muncul di sistem akademik,Akademik,Tinggi
Pembayaran beasiswa belum masuk ke akun saya dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Proses legalisir dokumen akademik terlalu lama,Administrasi,Rendah
"Mohon bantuan, kartu hasil studi tidak bisa diunduh",Akademik,Tinggi
Helm mahasiswa sering hilang di parkiran,Keamanan,Tinggi
Keluhan saya adalah gerbang samping kampus tidak dijaga,Keamanan,Tinggi
Nilai mata kuliah belum keluar di portal dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Proses legalisir dokumen akademik terlalu lama,Administrasi,Rendah
Lampu kelas mati sejak minggu lalu,Fasilitas,Tinggi
"Mohon bantuan, saya ingin bertanya prosedur revisi krs",Akademik,Rendah
Lantai koridor licin setelah hujan dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
"Mohon bantuan, dokumen administrasi belum diverifikasi",Administrasi,Sedang
Kursi di ruang kuliah banyak yang rusak dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
"Mohon bantuan, kamar mandi kampus perlu dibersihkan",Kebersihan,Rendah
Helm mahasiswa sering hilang di parkiran,Keamanan,Tinggi
WiFi kampus tidak stabil saat mengunduh materi,Jaringan,Sedang
"Mohon bantuan, jadwal ujian bentrok dengan mata kuliah lain",Akademik,Tinggi
Nomor induk mahasiswa mahasiswa belum terdaftar di sistem,Administrasi,Sedang
Toilet lantai dua kurang bersih,Kebersihan,Sedang
Ruang praktikum berbau tidak sedap dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
"Mohon bantuan, saya ingin mengajukan keringanan ukt",Keuangan,Rendah
"Mohon bantuan, saya tidak menemukan jadwal konsultasi akademik",Akademik,Rendah
"Mohon bantuan, saya butuh informasi batas pembayaran ukt",Keuangan,Rendah
"Saya ingin mengajukan keringanan UKT, mohon segera ditindaklanjuti",Keuangan,Tinggi
Virtual account pembayaran tidak muncul dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
"Mohon bantuan, helm mahasiswa sering hilang di parkiran",Keamanan,Tinggi
Apakah pihak kampus bisa menangani masalah ini: nilai mata kuliah belum keluar di portal,Akademik,Tinggi
Proyektor kelas tidak bisa menyala dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Area parkir banyak sampah plastik dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
"Parkiran motor kurang diawasi, mohon segera ditindaklanjuti",Keamanan,Tinggi
Data pribadi mahasiswa di portal masih salah,Administrasi,Rendah
Materi kuliah belum tersedia di LMS dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
"Mohon bantuan, sistem pembayaran kampus sering gagal",Keuangan,Tinggi
Lampu parkiran mati saat malam,Keamanan,Tinggi
Tolong dicek karena saya butuh surat aktif kuliah untuk beasiswa,Administrasi,Tinggi
Bagian administrasi sulit dihubungi,Administrasi,Sedang
Saya kehilangan barang di ruang kuliah dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Keluhan saya adalah informasi dosen pembimbing belum diperbarui,Akademik,Tinggi
Masalah yang saya alami yaitu komputer laboratorium tidak bisa menyala,Fasilitas,Tinggi
Lantai koridor licin setelah hujan,Kebersihan,Rendah
Proses legalisir dokumen akademik terlalu lama dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
"Mohon bantuan, banyak sampah di area taman kampus",Kebersihan,Rendah
Saya melihat orang asing masuk ruang kelas dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Koneksi internet sering timeout saat ujian online dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Saya tidak bisa mencetak bukti pembayaran UKT dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Nomor induk mahasiswa saya belum terdaftar di sistem dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Bagian administrasi sulit dihubungi,Administrasi,Sedang
Komputer laboratorium tidak bisa menyala,Fasilitas,Tinggi
Materi kuliah belum tersedia di LMS,Akademik,Sedang
Toilet tidak memiliki sabun cuci tangan,Kebersihan,Rendah
Pembayaran beasiswa belum masuk ke akun mahasiswa,Keuangan,Sedang
